Geneid	RNA_1196Y_1	RNA_1196Y_2	RNA_1199Y_1	RNA_1199Y_2	1196Y_1	1196Y_2	1199Y_1	1199Y_2
Os01g0157700	0	0	0	0	0	1	0	0
Os01g0157800	19	47	28	52	10	1	14	1
Os01g0157900	630	750	355	251	210	328	295	86
Os01g0158000	295	394	298	307	220	68	200	64
Os01g0158100	476	625	465	309	107	32	88	59
Os01g0158200	160	158	78	71	106	108	127	42
Os01g0158400	136	128	56	52	227	88	103	10
Os01g0158500	0	0	0	0	0	0	0	0
Os01g0158533	0	0	0	0	0	0	0	0
Os01g0158566	0	0	0	0	0	0	0	0
Os01g0158600	0	0	0	0	1	0	0	0
Os01g0158800	1	0	0	1	0	1	0	0
Os01g0158900	1813	1832	1425	1498	297	300	714	430
Os01g0159000	0	6	4	1	0	0	0	0
Os01g0159200	0	2	0	0	0	0	0	0
Os01g0159250	1	0	0	0	0	0	0	0
Os01g0159300	552	647	549	523	81	252	360	205
Os01g0159400	602	637	819	869	112	190	321	74
Os01g0159500	0	0	0	0	0	0	0	1
Os01g0159600	0	0	0	0	2	0	3	4
Os01g0159800	3	12	9	15	0	0	0	0
Os01g0160100	5	23	14	12	0	0	0	0
Os01g0160150	0	0	0	0	0	0	0	0
Os01g0160200	0	0	0	0	22	0	18	18
Os01g0160700	9	30	20	15	0	1	0	0
Os01g0160800	0	0	0	0	0	0	0	0
Os01g0161000	4	8	1	0	0	0	0	3
Os01g0161200	3	3	3	9	0	0	2	0
Os01g0161300	0	0	0	0	0	0	0	0
Os01g0162001	4	12	1	3	0	0	0	0
Os01g0162101	0	0	0	0	0	0	0	0
Os01g0162200	0	0	0	0	1	0	0	0
Os01g0162300	0	0	0	1	0	0	0	0
Os01g0162400	15	18	9	15	0	0	0	0
Os01g0162500	10	11	15	6	0	0	0	0
Os01g0162701	0	0	0	0	0	0	0	0
Os01g0162800	0	0	0	0	0	0	0	0
Os01g0162900	0	0	0	0	0	0	0	0
Os01g0163000	0	1	3	0	0	22	0	0
Os01g0163450	0	0	0	0	0	0	0	0
